NoiseLevel,FullState_Baseline_Mean,FullState_OurMethod_Mean,FullState_AbsoluteImprovement,FullState_PercentageImprovement,PartialState_Baseline_Mean,PartialState_OurMethod_Mean,PartialState_AbsoluteImprovement,PartialState_PercentageImprovement
0.0,56.90929999999996,45.360499999999995,11.548799999999964,20.293343970141915,55.86389999999999,15.208300000000007,40.65559999999998,72.77615776914963
0.002,76.79481200000001,47.05240799999999,29.742404000000015,38.72970481391375,51.501197999999995,35.70705,15.794147999999993,30.667535151318216
0.004,84.35981000000001,62.91724399999999,21.44256600000002,25.41798754643949,65.88463,38.620709999999995,27.263920000000006,41.381305472915315
0.006,73.373194,47.115145999999996,26.258048000000002,35.78697691693782,64.40085400000001,33.726698000000006,30.674156000000004,47.63004540281406
0.008,96.71695000000001,53.56588000000001,43.151070000000004,44.61583000704633,49.78223800000001,36.248016,13.534222000000007,27.186849253342135
0.01,91.3774,47.76591400000001,43.611485999999985,47.72677489182225,52.97937400000001,39.149758,13.829616000000009,26.10377389510115
0.012,72.21346399999997,50.779768000000004,21.43369599999997,29.681024580125356,55.412631999999995,32.145274,23.267357999999994,41.989266996016354
0.014,83.44137799999999,50.327995999999985,33.113382,39.684605879831,58.78933799999999,48.13272,10.656617999999987,18.12678686737379
0.016,72.35683800000002,52.914292,19.44254600000002,26.870364346214263,50.280398,33.56040399999999,16.719994000000007,33.253503681494344
0.018000000000000002,74.93088599999996,52.56168800000001,22.369197999999948,29.85310756902028,60.98101399999999,61.22888400000002,-0.24787000000003445,-0.40647077465788695
0.02,76.847426,47.188558000000015,29.658867999999984,38.59448460902254,57.06228799999998,36.40176799999999,20.66051999999999,36.20696036583742
0.022,72.09687199999999,48.730917999999996,23.365953999999995,32.40910923292206,53.009007999999994,39.181332,13.827675999999997,26.08552116274275
0.024,87.24553599999999,47.50473600000001,39.74079999999998,45.55052535868424,56.02836000000001,37.853766,18.174594000000013,32.438204509287814
0.026000000000000002,75.06233399999998,49.21879999999998,25.843534,34.429430345184855,60.20925799999999,41.983726,18.225531999999994,30.270314907385167
0.028,89.43149,50.32017999999999,39.11131,43.733264423974155,68.38243,45.69554199999999,22.68688800000001,33.17648700112004
0.03,95.28495599999998,52.63938199999998,42.645573999999996,44.75583113036228,56.831344,43.598159999999986,13.233184000000016,23.285009765033912
0.032,73.957894,56.342476,17.615418,23.81817145847879,60.01019400000001,44.789943999999984,15.220250000000028,25.362774197997137
0.034,71.40712400000001,55.77213399999999,15.634990000000023,21.895560448562556,57.59902999999999,40.02990400000001,17.569125999999983,30.502468531154058
0.036000000000000004,73.38889400000002,48.53985000000001,24.849044000000013,33.85940657451522,66.93477000000001,44.646181999999996,22.28858800000002,33.298968533095746
0.038,81.859114,43.137356,38.72175800000001,47.30292829702506,59.405270000000016,44.18936799999997,15.215902000000042,25.61372416958973
0.04,84.27333800000001,49.41436999999999,34.85896800000002,41.3641714298774,54.78997199999999,39.134275999999986,15.655696000000006,28.5740171577383
0.042,80.05618199999998,50.219366000000015,29.836815999999963,37.269846318676514,64.27628399999998,41.849543999999995,22.42673999999998,34.89115830031492
0.044,76.483138,54.008055999999996,22.475082,29.385669296152575,56.84622600000001,50.99060600000001,5.855620000000002,10.300806952426358
0.046,81.21141399999996,64.842626,16.368787999999967,20.15577268485927,57.505544,36.578496,20.927048,36.39135732721701
0.048,77.06389599999997,48.667482,28.39641399999997,36.847882697236045,49.91916000000001,42.20085400000002,7.718305999999991,15.461610331584083
0.05,75.237956,51.931495999999996,23.30646,30.976997833380803,55.637218000000004,42.327324,13.309894000000007,23.92264473036737
0.052000000000000005,78.124058,54.38583600000001,23.738221999999993,30.385290533679125,60.68076199999999,39.902891999999994,20.777869999999993,34.24128062201987
0.054,80.452066,48.06024200000002,32.391823999999986,40.262264986457886,64.79184800000002,54.978908000000004,9.812940000000012,15.145331245992567
0.056,85.99179800000006,50.63281,35.35898800000006,41.11902393295699,55.90964000000001,40.723738000000004,15.185902000000006,27.16150917802369
0.058,83.09903399999999,53.362066,29.73696799999999,35.7849743475959,77.678588,42.79052000000001,34.888068,44.913365315033786
0.06,81.57145800000002,52.30698399999999,29.26447400000003,35.87587462271426,68.07129400000002,38.522335999999996,29.548958000000027,43.40883838641296
0.062,91.31857199999999,54.42270199999999,36.89587,40.40346798239465,61.815496,38.934301999999995,22.881194000000008,37.01530438257748
0.064,72.065308,51.610760000000006,20.454547999999996,28.38334916989461,57.407050000000005,33.230487999999994,24.17656200000001,42.11427342112164
0.066,72.53846599999996,51.32307000000001,21.21539599999995,29.24709767091017,54.476508000000024,44.61156800000001,9.864940000000011,18.108612982315254
0.068,80.023498,51.439968,28.583530000000003,35.718920959941045,53.826998,39.129570000000015,14.697427999999988,27.304937198987
0.07,81.36371800000003,53.185726,28.17799200000003,34.63213419032795,64.104566,38.12873200000001,25.975834,40.52103558426711
0.07200000000000001,77.30912,52.67437000000001,24.634749999999983,31.86525729435283,59.391636000000005,40.79645600000001,18.595179999999992,31.30942545512636
0.074,83.07893799999998,49.472995999999995,33.605941999999985,40.45061577460221,63.09351599999997,39.24554199999999,23.84797399999998,37.79782061915838
0.076,74.817172,51.80272800000001,23.01444399999999,30.760911412155473,63.302244,38.677234000000006,24.625009999999996,38.900690471573164
0.078,77.24758600000001,59.446586,17.80100000000001,23.044085804830207,54.498700000000014,40.496999999999986,14.001700000000028,25.691805492608125
0.08,79.18227600000002,55.758558,23.423718000000015,29.582021613018565,60.945955999999995,49.179412,11.766543999999996,19.306521338347697
0.082,91.38364800000001,47.643178000000006,43.74047,47.86465736189477,58.205728,54.644428,3.561300000000003,6.118469989757714
0.084,82.60316200000001,52.723924,29.879238000000015,36.17202692555524,72.27694000000001,37.84008800000001,34.436852,47.64569723067966
0.08600000000000001,90.62035400000002,49.61304399999999,41.00731000000003,45.25176540360902,67.32233400000003,40.13705,27.185284000000024,40.380780618806256
0.088,71.72426200000001,63.26853199999999,8.455730000000017,11.789218549226781,57.786093999999984,40.813218,16.972875999999985,29.371903904769873
0.09,77.207692,48.896446,28.311245999999997,36.66894485072808,63.588452000000004,47.75287599999998,15.835576000000025,24.903226139236764
0.092,74.83775599999998,57.76820999999999,17.069545999999995,22.808735740285957,63.851656000000006,41.171902,22.679754000000003,35.519445259180124
0.094,81.55219399999999,46.839498000000006,34.71269599999998,42.56500566986583,62.75028999999999,38.875995999999994,23.874294,38.04650783287217
0.096,71.39553800000002,54.940844000000006,16.45469400000001,23.04723020645913,64.72373199999998,36.62357399999999,28.100157999999993,43.41554037705984
0.098,108.606912,56.79584400000001,51.811067999999985,47.70512948568135,54.02839399999999,45.76019599999999,8.268197999999998,15.30343100703678
0.1,74.617778,55.257562000000014,19.360215999999987,25.94584899057164,69.68674000000001,45.29249199999998,24.394248000000033,35.00558068866477
