Method Goal Errors:
Trial 47: [0.5337, 0.4798, 0.526, 0.4596, 0.4534, 0.4635, 0.0193, 0.0213, 0.4251]
Trial 48: [0.5372, 0.6291, 0.0227, 0.4509, 0.4498, 0.0853, 0.0152, 0.0295, 0.4407]
Trial 49: [0.4924, 0.0239, 0.036, 0.0129, 0.083, 0.4603, 0.4594, 0.019, 0.4263]
Trial 50: [0.5337, 0.4798, 0.4841, 0.008, 0.4483, 0.0179, 0.4259, 0.0201, 0.4423]

Baseline Goal Errors:
Trial 1: [5.1221, 1.053, 0.0988, 0.0373, 0.0254, 0.0244, 0.0147, 1.037, 0.0141]
Trial 2: [1.2538, 1.2563, 1.0489, 0.0815, 0.0813, 0.9679, 1.0298, 0.0273, 0.1492]
Trial 3: [1.2961, 1.0278, 1.0375, 0.0229, 0.0128, 0.0096, 0.9876, 1.0002, 0.9603]
Trial 4: [1.1608, 1.0441, 0.0638, 0.0101, 0.0466, 1.0195, 0.9761, 0.0207, 0.9385]
Trial 5: [1.1808, 1.0894, 1.0374, 1.0187, 0.0191, 0.0198, 1.1408, 0.0113, 0.9546]
Trial 6: [0.0206, 1.0492, 1.052, 1.8836, 0.0575, 1.0341, 0.9735, 0.9834, 0.9728]
Trial 7: [1.2065, 1.0885, 0.0118, 0.0114, 1.0168, 0.9603, 1.102, 0.991, 0.9853]
Trial 8: [1.2259, 1.0746, 0.0627, 1.4863, 0.014, 0.0229, 0.9878, 0.017, 0.9661]
Trial 9: [0.0085, 1.1537, 0.009, 1.0146, 0.0169, 0.1054, 0.0115, 0.9554, 0.0125]
Trial 10: [1.1808, 0.0212, 1.0204, 1.0527, 0.9793, 0.9638, 0.9969, 0.0196, 1.0001]
Trial 11: [0.0616, 1.0641, 1.0193, 0.0178, 0.0167, 0.9691, 0.0122, 0.0329, 2.1299]
Trial 12: [1.1661, 0.0246, 0.9954, 1.1092, 1.0005, 0.9983, 1.1281, 1.0218, 0.0282]
Trial 13: [1.2253, 1.108, 0.0209, 1.0577, 0.967, 0.9824, 0.0123, 0.0691, 0.9859]
Trial 14: [1.1809, 1.2672, 1.0404, 1.0839, 0.1082, 0.9957, 1.0307, 0.0193, 2.0158]
Trial 15: [1.2122, 1.0474, 1.03, 1.0385, 0.9837, 0.0184, 0.9756, 0.0095, 0.999]
Trial 16: [1.3817, 1.0116, 1.0374, 1.042, 0.0547, 1.0148, 1.2, 0.0109, 0.0742]
Trial 17: [1.1806, 0.0304, 1.0443, 1.0862, 0.015, 0.0752, 0.9855, 0.9806, 0.0193]
Trial 18: [1.1805, 1.1114, 0.1082, 1.0394, 1.0222, 0.9814, 0.012, 0.0146, 0.01]
Trial 19: [1.1797, 0.0233, 1.0454, 1.0194, 0.0076, 2.6515, 0.0131, 0.9809, 1.0273]
Trial 20: [4.7299, 1.0645, 4.2851, 0.0124, 3.0604, 0.9888, 1.0503, 0.0198, 0.9724]
Trial 21: [1.1264, 1.1103, 1.0458, 1.0291, 0.012, 0.9762, 1.1208, 0.0714, 0.0174]
Trial 22: [0.011, 1.0744, 0.0974, 0.01, 0.0097, 0.0235, 0.0285, 1.0004, 0.9971]
Trial 23: [1.1804, 1.0907, 0.0224, 1.0236, 0.9998, 0.9788, 0.0193, 0.0108, 0.9744]
Trial 24: [0.0898, 1.0249, 0.0109, 1.4854, 0.0165, 0.9692, 0.9906, 0.9926, 0.989]
Trial 25: [1.1826, 1.0285, 1.007, 1.0472, 0.0126, 0.9864, 1.0834, 0.9737, 0.9393]
Trial 26: [1.2623, 1.1085, 1.0453, 0.0327, 0.0281, 0.98, 0.0163, 0.0112, 0.9662]
Trial 27: [1.1507, 1.1482, 1.122, 1.0199, 0.0153, 0.053, 0.9923, 1.0303, 0.9801]
Trial 28: [0.0083, 1.0557, 0.082, 0.0124, 1.0454, 1.0067, 0.0116, 0.0114, 0.9667]
Trial 29: [1.1806, 0.0343, 1.0374, 1.0212, 0.0105, 0.8436, 1.0106, 1.0207, 1.2973]
Trial 30: [1.1652, 1.17, 1.1156, 1.055, 0.0136, 0.9807, 0.0102, 1.0031, 1.0175]
Trial 31: [1.1384, 1.1298, 1.048, 1.0337, 0.0169, 0.9588, 0.9439, 0.0198, 0.0325]
Trial 32: [1.1806, 0.0469, 0.0828, 1.086, 0.0258, 0.0877, 0.0238, 0.0102, 1.0541]
Trial 33: [0.1261, 0.1086, 1.0456, 1.021, 0.0581, 0.9858, 0.0116, 1.0071, 0.9706]
Trial 34: [1.1927, 1.0569, 1.0162, 0.0101, 1.004, 0.9971, 1.008, 0.0105, 0.01]
Trial 35: [0.0829, 1.0468, 1.0196, 0.9882, 0.0775, 0.9885, 2.475, 0.0331, 0.9421]
Trial 36: [1.1559, 1.1354, 1.0374, 1.0443, 1.0049, 1.0, 1.134, 0.0166, 0.9664]
Trial 37: [0.0687, 1.1599, 0.0227, 0.0331, 0.0104, 0.0173, 1.0622, 0.9753, 1.0184]
Trial 38: [1.1808, 0.0201, 1.0533, 1.0212, 0.0208, 0.8706, 1.0249, 0.9986, 0.9676]
Trial 39: [1.1703, 0.107, 0.0605, 1.0215, 0.1165, 0.983, 0.0116, 0.0221, 1.0466]
Trial 40: [0.0654, 4.1215, 0.9693, 0.1565, 0.0155, 0.0342, 1.0164, 0.018, 0.9963]
Trial 41: [1.1806, 1.0752, 0.0884, 0.9886, 0.0133, 0.017, 0.0099, 0.0198, 1.0729]
Trial 42: [1.1642, 1.1085, 1.0189, 1.0881, 1.05, 0.979, 1.1098, 0.8445, 1.0157]
