our errors, then baseline errors. the rows are different noise levels, and the columns are different trials
0.0: [1.8438874983520843, 9.944367874126e-312, 5.0e-324, 9.93253860495e-312, 9.944367878474e-312, 5.0e-324, 9.93253860843e-312, 9.94436788282e-312, 5.0e-324, 9.93253861191e-312]
0.01: [37.58279282545813, 25.01518196852821, 30.63142594010687, 13.710570844820584, 13.313612708617748, 26.225056339635245, 22.740922964937955, 13.522990312951046, 25.551011375222277, 16.98197655810086]
0.02: [28.846183914258777, 19.30467643093225, 22.705268068198556, 17.516518870928056, 20.383506691054095, 30.935594966375724, 27.151651481765526, 29.78537538618639, 21.013358537892902, 37.711948494077106]
0.03: [24.751020157789316, 40.25360508288782, 23.840246390608712, 26.39021596934352, 36.26221077364139, 28.85073628377397, 27.7088769756097, 25.457356816699104, 39.80340797964427, 36.08272014787157]
0.04: [27.038408255116288, 22.95006773419702, 43.26588474300287, 0.058926550490527606, 29.1467490198858, 37.41526959778859, 38.395744725801215, 28.31291829552037, 28.46392444432397, 27.390642258988407]
0.05: [28.316713509538822, 38.31189393971577, 31.09866362807006, 49.85159058677396, 33.02738189398217, 32.008203933179296, 0.04101251772140938, 35.05880791564779, 54.80404977925492, 29.437475904767027]
0.06: [16.13720352595765, 36.19225685334334, 18.25678101070135, 0.2410266089324105, 56.67954950711055, 43.342038211028424, 33.222104883941824, 0.0872978387423554, 0.36762983194555476, 26.18959814871576]
0.07: [39.061990486919306, 48.8523859228858, 0.3374997138711356, 33.200464976645286, 0.2579961992025243, 43.205792646646884, 29.728922268622263, 0.6331061041353075, 41.42719301277317, 67.64453936193408]
0.08: [52.28987830934544, 40.504489337269995, 46.20318482564345, 34.3970868657131, 57.96528494134644, 29.025882095073523, 31.895949162271357, 49.58259255243518, 29.422420683281082, 35.2903130521149]
0.09: [38.669349893888786, 36.9910662616132, 38.3200612428137, 34.078112179737474, 36.939508142205774, 43.72333689779967, 21.559811844705543, 39.469900215441356, 19.381816158516678, 50.72722317602964]
0.1: [20.781410129231354, 37.93942264409477, 38.36326702211445, 60.48594599596071, 53.320739173213205, 63.32560341704084, 0.214105556913982, 42.071518101126074, 20.49446608582357, 57.55355386578007]

0.0: [0.9157709934052097, 9.94456272437e-312, 9.94456310618e-312, 9.944563833526e-312, 9.9445641502e-312, 9.944564540316e-312, 9.944564930905e-312, 9.944565492796e-312, 9.94456597374e-312, 9.94456628488e-312]
0.01: [0.9175786338763231, 0.9135168847732646, 0.9090981849071275, 0.9162613556054924, 0.9245353252838827, 0.9179316642681352, 0.920751021519462, 0.9153965838392409, 0.9135498763142438, 0.9167114822494775]
0.02: [0.9078887314338367, 0.9187849843220441, 0.916785289574642, 0.9235301621924122, 0.910508501229509, 0.909404172530228, 0.9185524482140851, 0.9155334323632216, 0.9098093758177732, 0.9257739667721329]
0.03: [0.9276635431206073, 0.9161538391994296, 0.9250881733110291, 0.934135888559483, 0.9294361472091314, 0.9176125415964058, 0.9486696877281182, 0.9222964755283636, 0.9407602642207267, 0.9267071778733128]
0.04: [0.8895017681639961, 0.8933495257259179, 0.9193134083455922, 0.9387169955512309, 0.9130376594924822, 0.9355990792313356, 0.9315659066245248, 0.9094303144461034, 0.9631572970087751, 0.9188972916525875]
0.05: [0.9836651224425811, 0.9235651786699745, 0.9928694225125325, 0.9575240533422125, 0.9476207732409491, 0.9324071605514067, 0.9025029018632816, 0.9416460978085868, 1.0056650725080776, 0.9796662580632898]
0.06: [0.9092911204161045, 0.900768222840359, 1.0525210724955165, 0.9317349032122046, 0.999647793665033, 0.9504446188708189, 0.936257642608581, 0.9188205748267234, 0.8902487189229222, 0.983276185627153]
0.07: [0.9271411317698612, 0.9096332027420991, 1.0175637973546, 0.9271804330280381, 0.8952034056303273, 0.9035652581971957, 0.8975929406376693, 0.9566363751731699, 0.9612303985156175, 0.9422210837105134]
0.08: [1.0602116434907287, 0.926913392305048, 0.991371779891933, 0.997450988866988, 1.0036628756108037, 0.9730935676280554, 0.9434548291109525, 0.9677843929618265, 1.1379992940849297, 0.9863452818532539]
0.09: [0.9453645110182819, 1.0556712661072094, 1.0111541369862334, 0.9707542888652273, 0.9878697936248562, 0.9495616541279949, 0.9863760784983185, 0.9596689891085172, 0.9108361223971817, 0.9816917943703961]
0.1: [1.0270943811452664, 1.0196847148972656, 0.9961218645141888, 0.9475114211884799, 1.0360667804319537, 1.064523240997089, 0.9835871809642771, 1.0537446983958616, 1.024781057616543, 1.0065147679139919]
