Method Goal Errors:
Trial 47: [0.5338, 0.0254, 0.0817, 0.4633, 0.0385, 0.471, 0.1062, 0.0181, 0.4801]
Trial 48: [0.5241, 0.0349, 0.4777, 0.0819, 0.4664, 0.437, 0.0768, 0.4478, 0.3963]
Trial 49: [0.5339, 0.0369, 0.4857, 0.4682, 0.0112, 0.4431, 0.4691, 0.5448, 0.4527]
Trial 50: [0.5336, 0.4854, 0.0268, 0.4877, 0.5319, 0.0819, 0.0086, 0.0551, 0.457]

Baseline Goal Errors:
Trial 1: [1.1802, 1.0376, 1.0523, 1.0461, 0.0103, 0.9969, 0.9816, 0.9657, 0.0127]
Trial 2: [1.1763, 1.3149, 1.0628, 0.9696, 0.0199, 0.0179, 1.0247, 0.8718, 0.0646]
Trial 3: [0.0915, 1.0471, 0.0276, 1.0355, 1.0089, 0.0142, 0.0108, 0.0313, 0.0143]
Trial 4: [0.0527, 1.0477, 0.0378, 3.9012, 1.0203, 0.9768, 0.0131, 0.9703, 0.9347]
Trial 5: [0.0203, 0.0154, 0.0172, 1.1009, 1.0398, 0.1049, 1.0214, 0.0184, 0.0126]
Trial 6: [1.2065, 1.0998, 1.0185, 1.025, 0.0094, 0.0184, 0.0157, 1.0145, 1.0184]
Trial 7: [1.1804, 1.0731, 1.0719, 1.0401, 0.0847, 0.9807, 1.0219, 0.0647, 0.958]
Trial 8: [0.0128, 1.0271, 0.0099, 0.9891, 1.0379, 0.0772, 1.0188, 0.9579, 0.9356]
Trial 9: [1.1555, 0.0274, 0.1155, 0.9861, 0.0166, 0.9994, 0.0082, 0.0189, 0.9903]
Trial 10: [1.1963, 1.08, 4.2999, 1.0348, 0.0629, 2.4776, 0.0118, 0.1047, 0.956]
Trial 11: [1.2888, 1.0806, 1.0393, 1.026, 1.2181, 0.1196, 1.0277, 0.9971, 0.0107]
Trial 12: [1.1817, 1.0499, 1.0155, 1.0413, 0.021, 0.9869, 0.0109, 0.0101, 0.9636]
Trial 13: [0.0164, 1.0114, 1.0216, 0.0578, 1.0336, 0.0287, 1.0644, 0.0225, 0.959]
Trial 14: [0.0352, 1.0825, 1.054, 0.992, 0.0221, 1.0118, 1.077, 1.0071, 0.9827]
Trial 15: [1.1503, 1.0998, 0.0118, 1.0085, 0.9965, 0.0539, 1.0081, 0.0191, 0.9373]
Trial 16: [0.0634, 1.0736, 1.0377, 0.7976, 0.051, 0.0617, 1.0318, 0.014, 1.3525]
Trial 17: [0.0237, 0.0341, 1.1, 1.023, 1.0374, 1.0325, 0.9926, 0.0085, 1.0283]
Trial 18: [1.1382, 0.0118, 0.0092, 0.0098, 0.0207, 0.029, 0.9214, 0.0199, 0.9894]
Trial 19: [1.1356, 0.0282, 0.0292, 0.017, 0.9948, 0.0768, 0.9829, 0.0721, 0.9667]
Trial 20: [1.1953, 1.004, 0.0651, 0.0122, 0.9684, 1.007, 0.9934, 0.0381, 1.215]
Trial 21: [0.1246, 1.1178, 1.0415, 1.0389, 0.0738, 0.9788, 1.057, 0.0123, 0.9883]
Trial 22: [1.0249, 1.0496, 1.0408, 0.0179, 0.9326, 0.9755, 0.0116, 0.0214, 0.0703]
Trial 23: [1.1742, 1.0772, 0.0187, 1.1425, 0.9758, 0.0165, 0.0129, 1.0478, 0.9556]
Trial 24: [0.054, 1.0869, 1.035, 0.9469, 0.0105, 0.073, 1.0025, 0.0198, 0.0643]
Trial 25: [1.1286, 0.0958, 1.0221, 1.0497, 3.5639, 0.0349, 0.0091, 0.0153, 0.9418]
Trial 26: [1.1817, 1.3412, 0.9771, 1.0703, 0.0111, 0.0821, 1.0421, 0.0191, 0.0105]
Trial 27: [1.1801, 4.291, 1.0426, 1.0248, 0.9764, 1.0069, 0.9926, 0.0515, 0.0191]
Trial 28: [0.063, 1.0751, 1.0376, 0.0089, 0.0124, 1.006, 0.0117, 0.0714, 0.9811]
Trial 29: [1.0249, 1.0204, 0.9525, 0.0943, 0.9938, 0.0109, 0.0278, 0.0705, 0.9653]
Trial 30: [1.2443, 1.083, 1.0479, 0.0277, 0.0105, 0.9709, 0.0197, 0.0444, 0.0151]
Trial 31: [0.0217, 1.0687, 1.0378, 1.0016, 1.0247, 0.9955, 0.0291, 0.0645, 0.1117]
Trial 32: [1.1519, 1.0711, 0.0237, 1.0215, 0.9871, 0.9705, 0.9629, 0.0169, 0.013]
Trial 33: [1.1583, 0.0906, 0.011, 1.0406, 0.0558, 1.0192, 0.9861, 0.0202, 1.0025]
Trial 34: [1.2036, 1.164, 1.0625, 1.0646, 0.9775, 1.5239, 0.1216, 0.0139, 1.7489]
Trial 35: [5.18, 1.0878, 1.1384, 1.0183, 0.9999, 0.995, 1.0007, 0.0117, 0.9453]
Trial 36: [1.1805, 1.0749, 1.0379, 1.0114, 0.0105, 0.0244, 0.0476, 0.1319, 0.0247]
Trial 37: [0.0272, 1.1088, 1.0428, 1.0332, 0.976, 0.9951, 0.0166, 1.0032, 0.9931]
Trial 38: [1.0243, 1.0442, 0.0178, 1.0077, 0.0314, 0.9867, 0.018, 0.1111, 0.8852]
Trial 39: [1.1893, 1.1545, 0.132, 1.0159, 0.0114, 0.9882, 0.0116, 0.0097, 0.0686]
Trial 40: [0.0821, 1.0897, 0.0198, 0.015, 0.0163, 1.0223, 0.014, 0.9731, 0.9477]
Trial 41: [0.0303, 1.072, 1.0418, 1.029, 0.9985, 1.0062, 0.0915, 0.1006, 0.1005]
Trial 42: [1.1819, 1.1426, 1.019, 0.997, 0.0123, 0.0174, 0.0097, 0.011, 0.9984]
Trial 43: [1.1721, 1.0716, 1.1006, 1.0542, 0.0309, 1.0117, 1.129, 0.011, 0.9714]
Trial 44: [0.0202, 1.0282, 0.1209, 1.0027, 0.0136, 0.011, 1.0084, 0.0113, 0.9519]
Trial 45: [0.0204, 1.0547, 1.1281, 1.0703, 1.0323, 0.99, 1.0196, 1.0049, 0.9379]
Trial 46: [0.93, 1.1281, 0.672, 0.0364, 0.0803, 0.0115, 0.0179, 0.1027, 0.0186]
Trial 47: [0.0663, 1.0443, 1.0372, 1.0241, 3.0844, 1.0258, 0.9923, 0.9936, 0.9734]
Trial 48: [1.1808, 1.1405, 0.0143, 0.9921, 1.0037, 0.9838, 0.9968, 0.9781, 0.1415]
Trial 49: [1.2409, 1.0246, 0.0239, 1.0343, 1.02, 0.0153, 1.133, 0.0198, 0.0144]
Trial 50: [1.1465, 0.0352, 0.7104, 1.0109, 0.9903, 1.0055, 0.018, 0.0118, 1.3062]

Method Player Errors:
Trial 1:
  Player 1: [0.2592, 0.2514, 0.2565, 0.2564, 0.2573, 0.0664, 0.2879, 0.0139, 0.2992]
  Player 2: [0.2582, 0.259, 0.2456, 0.2404, 0.2337, 0.062, 0.2412, 0.0091, 0.2235]
  Player 3: [0.2407, 0.2332, 0.3172, 0.117, 0.0876, 0.0707, 0.074, 0.0007, 0.1388]
  Player 4: [0.2868, 0.2981, 0.2837, 0.272, 0.2613, 0.0263, 0.243, 0.0004, 0.202]
Trial 2:
  Player 1: [0.2599, 0.2603, 0.2569, 0.2686, 0.2588, 0.2664, 0.2659, 0.2756, 0.0114]
  Player 2: [0.2552, 0.2504, 0.246, 0.2479, 0.2342, 0.2469, 0.2238, 0.222, 0.0066]
  Player 3: [0.2423, 0.1341, 0.2258, 0.0695, 0.1117, 0.1683, 0.3076, 0.1602, 0.0015]
  Player 4: [0.3061, 0.2815, 0.2826, 0.2708, 0.2615, 0.251, 0.2581, 0.2257, 0.0039]
Trial 3:
  Player 1: [0.2707, 0.2599, 0.2565, 0.2589, 0.0113, 0.2603, 0.2714, 0.2844, 0.0139]
  Player 2: [0.2737, 0.2502, 0.2461, 0.2421, 0.008, 0.2235, 0.2321, 0.2234, 0.0085]
  Player 3: [0.2317, 0.1363, 0.1055, 0.7099, 0.0, 0.4953, 0.0692, 0.1027, 0.0002]
  Player 4: [0.3068, 0.2955, 0.2839, 0.2744, 0.0011, 0.2597, 0.2513, 0.0984, 0.004]
Trial 4:
  Player 1: [0.0173, 0.0181, 0.2568, 0.2573, 0.2583, 0.2596, 0.2879, 0.0088, 0.0082]
  Player 2: [0.0113, 0.0212, 0.2464, 0.242, 0.2342, 0.2378, 0.2417, 0.0056, 0.005]
  Player 3: [0.0007, 0.001, 0.1055, 0.7158, 0.1055, 0.1849, 0.1073, 0.0, 0.0004]
  Player 4: [0.0041, 0.0004, 0.2835, 0.2737, 0.2611, 0.2511, 0.1926, 0.0009, 0.001]
Trial 5:
  Player 1: [0.2817, 0.0114, 0.0163, 0.2569, 0.277, 0.2608, 0.2674, 0.2757, 0.0141]
  Player 2: [0.2676, 0.0139, 0.0185, 0.2408, 0.2503, 0.2291, 0.2198, 0.2215, 0.011]
  Player 3: [0.1782, 0.0, 0.0, 0.2183, 0.2019, 0.1889, 0.1373, 0.1607, 0.0001]
  Player 4: [0.2939, 0.0037, 0.0042, 0.272, 0.2604, 0.253, 0.2409, 0.23, 0.0041]
Trial 6:
  Player 1: [0.2595, 0.2601, 0.2545, 0.257, 0.2581, 0.2601, 0.265, 0.2753, 0.0174]
  Player 2: [0.2546, 0.2499, 0.265, 0.2407, 0.2347, 0.229, 0.2334, 0.2198, 0.0119]
  Player 3: [0.1965, 0.1136, 0.1129, 0.1376, 0.1054, 0.1858, 0.0506, 0.1452, 0.0]
  Player 4: [0.3061, 0.295, 0.2927, 0.2719, 0.2611, 0.2506, 0.2226, 0.2345, 0.0003]
Trial 7:
